,V11-force,V12-force,V13-force,V14-force,V15-force,V16-force,V17-force,V18-force,V19-force,V20-force,V21-force,V22-force,V23-force,V24-force,V25-force,V26-force,V27-force
119,0.0,0.218035,5.37711e-15,4.42764,1.35993e-15,0.798631,1.426985879e-06,4.3235,2.6281e-15,0.436066,1.79863,0.408389,1.42629,0.40869,5.43805,0.435126,0.466753
120,0.0,0.225785,1.46134e-15,4.55201,1.26497e-14,0.852883,1.7807e-05,4.41568,7.87252e-15,0.43645,1.85286,0.411367,1.53771,0.411947,5.50961,0.435425,0.471211
121,0.0,0.216825,3.45294e-15,4.67565,1.0178275e-14,0.925232,4.64419e-05,4.49736,4.87461e-15,0.436445,1.91648,0.413987,1.61948,0.414816,5.61205,0.435332,0.481794
122,0.0,0.232733,5.09468e-15,4.82526,1.32283e-14,1.0096,0.00012557,4.59707,5.60721e-15,0.436074,1.96737,0.416272,1.68502,0.417284,5.74018,0.43501,0.493829
123,0.0,0.225735,2.4014e-15,4.93872,1.23646e-14,1.12887,0.000274259,4.68624,3.16208e-15,0.435686,2.05929,0.418181,1.74537,0.419308,5.89455,0.434739,0.498394
124,0.0,0.233073,4.92529e-15,5.12126,1.64996e-14,1.13124,0.000495683,4.77463,7.99262e-15,0.435732,2.14798,0.419638,1.78836,0.420824,6.06367,0.434773,0.502809
125,0.0,0.23293000000000003,4.66245e-15,5.27698,7.4429e-15,1.22932,0.0011777585,4.921025,1.43632e-14,0.436134,2.21484,0.420602,1.82983,0.42176,6.330159999999999,0.43564,0.501263
126,0.0,0.243533,4.38814e-15,5.47923,7.28582e-16,1.31178,0.00234302,5.08475,5.02765e-16,0.4376815,2.26156,0.42113599999999995,1.87487,0.422133,6.63176,0.437813,0.493609
127,0.0,0.239035,5.6614150000000005e-15,5.56368,5.47623e-15,1.33544,0.00334442,5.18421,4.87779e-15,0.440388,2.32294,0.421092,1.91324,0.422132,6.81543,0.440299,0.4937
128,0.0,0.237488,5.53517e-16,5.7538,1.4043e-15,1.41887,0.00463506,5.30856,6.85456e-15,0.443015,2.44529,0.421006,1.98895,0.421988,6.98515,0.443506,0.4826295
